,Text,Cluster
1335568908753883137,"RT @130mood__crispy: Stays now it's time to prepare for Kingdom!
- Download Whosfan and create acc and start collecting points
- Create Nav…",2
1335568908812759040,"RT @realDonaldTrump: ***Live Updates*** Trump Holds Georgia Rally for Sens. Loeffler, Perdue https://t.co/Z6XZYeCO16 via @BreitbartNews. A…",0
1335568908825350144,Interesting.. https://t.co/vsEYDWU2nW,2
1335568909022314496,RT @_YvonneBurton: I don't think the GOP understands what's happening,0
1335568909072625664,yall we didnt vote for fave male group ...,2
1335568909072785411,"@petercbarbour @JennaEllisEsq No. That 2 minute video being pushed by trump without context, is not a shred of proof. It’s not evidence. It’s just another lie from trump. Wanna know why they only released 2 minutes instead of the entire video?

https://t.co/Cn4O9jjPhK",2
1335568909081194497,"RT @DesignationSix: You are either with Trump or you are an American. It cant be both.

Its time to start asking these Republicans what the…",0
1335568909198446592,"RT @paulsperry_: BREAKING: Records show that John Poulos, the president and CEO of Dominion which runs voting systems in 28 U.S. states, is…",0
1335568909215428608,RT @realDonaldTrump: And getting a total pass from the media!,0
1335568909278253057,Biden for Prison 2020. https://t.co/FvShx1qNLF,0
1335568909454487554,"RT @RudyGiuliani: The “Bank Heist” tape changes the result in Georgia. 

The State Legislature has no choice but to assume its powers under…",2
1335568909517385728,"RT @ArtValley818_: List of the 25 RINOs who say Biden won. 

Vote them out!!! https://t.co/oeATlPr23T",2
1335568909521588229,"RT @ericbolling: Hey Chris
Are you going to ask Brennan why he supports an Iranian regime that encourages chants of “Death to America” and…",2
1335568909609492483,"RT @TheRISEofROD: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!
https://t.co/WUp1YvNAYK",0
1335568909802610689,RT @Lrihendry: Love it! President Trump showing voter fraud happening in GA on TV screen at Trump Rally Valdosta!,0
1335568909949399040,"@BTSNewsBrasil I vote for #BTS for Worldwide Fans' Choice #MAMAVOTE   @BTS_twt

 #2020MAMA",2
1335568910142369792,"RT @LLinWood: Do you think the Dominion voting machines used in the GA general election were auditable, verifiable &amp; secure?

@GabrielSterl…",0
1335568910167416837,"RT @Ashi12Cutie: @RajBaddhan @SabrasRadio @BizAsia 

I vote #AshiSingh for #AladdinNaamTohSunaHoga #TVPersonalityWithRajBaddhan

GORGEOUS 0…",1
1335568910213591040,"RT @atensnut: I’m older than President Trump, but I love him like a father.  He takes care of us like a good dad. 

Don’t give up on him.…",0
1335568910352080897,"RT @realDonaldTrump: Between Governor @DougDucey of Arizona and Governor @BrianKempGA of Georgia, the Democrat Party could not be happier.…",0
1335568910364663810,RT @carolinasassie: Fight For Trump ⁦@GOP⁩ or you will lose your base. The people have spoken!!  #FightForTrump #FightForAmerica #FightLike…,0
1335568910427549696,RT @meiselasb: Donald Trump is a pathetic weirdo. I wonder if #WeirdoTrump will trend?,0
1335568910494670848,"RT @KatieJohnson214: #WeirdoTrump
Is it time to arrest Donald Trump?⏬⏬⏬⏬⏬⏬⏬⏬ https://t.co/1lVvnk9bpo",0
1335568910754701312,Morning to Y'all. Impeached Racist LOSER Trump and Poonce still haven't told Putin to stop the Bounties on our Troops in Afghanistan. Nor do we know how they are doing worldwide with this Pandemic. Why? Our enemies know.,2
1335568911123816449,"🔥🔥 President Trump tells the ""Fake News"", ""Suppression Media"" that they might not be very happy in a few weeks🔥🔥 

But we sure will be! https://t.co/tg2PtWl7vK https://t.co/P4TiuhWgUt",0
1335568911249641472,"RT @Raiklin: MAJOR UPDATE TO TIMELINE! Read carefully.

Dec 6-14 we need to apply maximum pressure on state legislatures of GA,WI,AZ,MI,PA…",0
1335568911618756613,"RT @TomFitton: 3 U.S. Code § 1: ""The electors of President and Vice President shall be appointed, in each State, on the Tuesday next after…",0
1335568911685857280,It is clear that President Trump has his priorities. :) https://t.co/XtJqE71mmp,0
1335568911807471619,"RT @proxcee: ""Now is NOT the time to retreat!""  -  Donald Trump",0
1335568911807492096,"#LosAngeles must impeach their mayor.  PROTEST PROTEST PROTEST! Get your family, friends, neighbors and anyone else that wants the rights back   They can't arrest all of you.  Find you a civil rights lawyer outside of LA. https://t.co/Acqhjo21ja",2
1335568911815720961,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335568911849414658,"RT @paulkrugman: The moral here is that if Democrats take those Senate seats in GA, Biden should go ahead and spend on his priorities, igno…",0
1335568911908044800,RT @realDonaldTrump: Thank you Christina! https://t.co/0ADausqhat,0
1335568911958413312,RT @ScottAdamsSays: None of the election fraud history matter. None of the current election fraud allegations matter. What matters is that…,0
1335568911962492930,RT @GenFlynn: .@Raiklin continues to do amazing analysis on the state of play in our election process. His chart is well worth studying.…,0
1335568911983513601,"RT @SA_SCians: I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 

@BizAsia @RajBaddhan @SabrasRadio 

SC 133",1
1335568912264650753,"RT @bob_robb: Amen!!!

It’s time for all Patriots to take a stand. There is a War on all Americans.

In case you didn’t know, I am a Trump…",0
1335568912277254144,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335568912293965825,"RT @GenFlynn: Hey RINOs and other Quasi Republicans (local, state, &amp; federal), you need to stand up &amp; #FightForTrump 

This is only a taste…",0
1335568912377733120,RT @btsaeso: bts will be attending this award show (The Fact Music Awards) and we are losing in both categories - please take a minute to v…,2
1335568912457625601,VOTE WONDER https://t.co/FEWVRebWwp,2
1335568912528924672,"RT @EFLFighters: No Vote song “Hold Your Power” by @BlakNatureAKB is the newest jam trending in this election period 🤩

#YenVoti
#NoVote202…",2
1335568912600059906,"RT @Ashi56974676: @RajBaddhan @SabrasRadio @BizAsia 

I vote #AshiSingh for #AladdinNaamTohSunaHoga #TVPersonalityWithRajBaddhan
Lovely gir…",1
1335568912726024192,RT @realDonaldTrump: Thank you Christina!,0
1335568912759595008,"@13sarahmurphy Words that truly resonate with the decent people of the U.K. who didn’t vote for this shower of shite. Applauding a buffoon because he is a bit of a laugh , good old Boris ha ha . No, No,Goddam No F***ing No. Why should we allow the most corrupt shit Gov in history to destroy us",2
1335568912759599104,RT @TachaIsMyPaddi: we are in it together #OzoneXJennysGlow,2
1335568912885420033,"I vote #RheaSharma for #YehRishteyHainPyaarKe #TVPersonalityWithRajBaddhan 
@BizAsia
@RajBaddhan
@SabrasRadio https://t.co/cUF2fdvpcV",1
1335568912910405637,"RT @_Scian: I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 
@RajBaddhan

@SabrasRadio

@BizAsia
48 https://t.co/cKeuoHx1rI",1
1335568912910520320,"RT @ScottAdamsSays: To understand 2020, consider that President Elect Biden called for Democrats to unify with the people he calls neo-Nazi…",0
1335568913179037696,"@MrStache9 Uneducated, misinformed, believing in idiotic stereotypes ( Conservatives are mouth breathing racists for ex) superficial ( he's so cute!) And they vote for the asshat again",2
1335568913216774144,"RT @PhillDKline: Data experts put the total number of illegal votes counted and legal votes not counted at more than 200,000, far greater t…",0
1335568913229344771,"RT @ammuvidya95: @RajBaddhan @SabrasRadio @BizAsia 

I vote #AshiSingh for #AladdinNaamTohSunaHoga #TVPersonalityWithRajBaddhan princess ya…",1
1335568913564921856,"Biden and Trump vie to project authority, making for a tense transition https://t.co/t5SY9hNkUR",0
1335568913577484290,@iheartmindy Preview of what's coming if these judges and politicians do their jobs and Trump remains President. And that's ok. These far left/liberal punks need to learn the hard way to stop throwing temper tantrums when they don't get their way.,0
1335568913615134720,"RT @Lrihendry: Being reported in GA, 10,315 voters died before the election, 66,248 were under the age of 18 and 40,279 people changed coun…",0
1335568913770270721,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335568913892077569,"RT @ColumbiaBugle: The Moment Of The Night

Georgia Crowd Chants At @KLoeffler &amp; @sendavidperdue: 

""FIGHT FOR TRUMP! FIGHT FOR TRUMP! FIGH…",0
1335568913959186437,RT @AliVelshi: Rachel @maddow joins me 9aET for her FIRST interview on her new book (you probably remember her great podcast) “Bag Man: The…,2
1335568913975939073,RT @realDonaldTrump: Thank you Christina!,0
1335568913984315395,"RT @TX_WalkerRanger: Any Republicans who want to make History. 

Now is your chance. 

FIGHT FOR TRUMP. FIGHT FOR US.",0
1335568914034683905,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335568914143715328,"@Chirruped @BSolucius @kgallella @kylenabecker do as I do, mute them, it makes me smile thinking I am listening to their idiocy..Anyone who tells me that Biden got 13 million MORE votes than Obama whilst gaining over 200 LESS counties, whilst underperforming compared to Biden and Hillary in nearly EVERY state are just morons.",2
1335568914206478336,"RT @cain_nate: Dominion Advisor Met With John Podesta Offering 'Anything' That Would Help Defeat Trump, According to Email Released by Wiki…",0
1335568914395385857,"@MubrakCity @SilentKnights8 @ConceptualJames Facts she’s correct! I’m tired White Ppl running this Country! But at least Biden’s nominees are the opposite from Trump, his whole KKK Cabinet who largely consist of white men! Biden’s picks include women and people of color, some who are going to break barriers!",2
1335568914441523201,America has taken a Giant step towards Socialism. When we see the results in the next four years will we take the obvious next step to Communism or return to Capitalism? The Mail-In Ballot Counters may continue to make those Decisions for us. https://t.co/2KJbQzqTlt,2
1335568914496036865,"RT @jooaegyo: THEY SAID DON'T FORGET TO VOTE MX 
 #MAMAVOTE   #monstax https://t.co/o1qqrfwvwV",2
1335568914584129536,RT @tooronlists: You may be wondering why Georgia is becoming the Republican flashpoint fighting against Democracy. Because Atlanta has mor…,0
1335568914621849601,"@AliciaSmith987 This is one the saddest picture from this presidency. These crying people are praying for a sexual assaulter, thief, liar and racist to win a SECOND term. Their adoration of Trump is golden calf idolatry. They believed his lies. They don’t even realize they’ve been had by a con.",2
1335568914894426112,"RT @paulkrugman: The moral here is that if Democrats take those Senate seats in GA, Biden should go ahead and spend on his priorities, igno…",0
1335568914907090944,Yes ☝️👍 Do it @GovKemp @BrianKempGA @GaSecofState https://t.co/kep4GVNvFw,2
1335568914915287041,RT @realDonaldTrump: And getting a total pass from the media!,0
1335568914948915201,"RT @MartynMcL: When Trump leaves office next month, his adult children will no longer be eligible for Secret Service protection, but under…",2
1335568915024523264,"RT @Nayra20054330: I vote for #AshiSingh
#AladdinNaamTohSunaHoga 
#TVPersonalityWithRajBaddhan 

@RajBaddhan
 
@SabrasRadio
 
@BizAsia http…",1
1335568915095826433,RT @TeamTrump: President @realDonaldTrump: “If you don’t vote. The socialists and the communists win.” https://t.co/VLhaX0iKKa,0
1335568915125030912,I can’t see anything more real than this. https://t.co/3tM5iHeIKt,0
1335568915242561537,Am confused..pls who should I vote for?? Am waiting 😘😘💖,2
1335568915301158913,"RT @Tejasvi_011: @RajBaddhan @SabrasRadio I vote for #AsimRiaz for #biggboss13 

@RajBaddhan @SabrasRadio #TVPersonalityWithRajBadhhan 

VH…",1
1335568915351678976,@SebGorka Trump sucks and Trump supporters suck balls,0
1335568915422842882,"RT @BandyXLee1: So is the scandal of misleading the public into believing that mental health is different from physical health, somehow sub…",2
1335568915523506177,"I vote for #SurbhiChandna for Naagin5
#TVPersonalityWithRajBaddhan @SabrasRadio @BizAsia @RajBaddhan
114",1
1335568915582291968,RT @TeamTrump: President @realDonaldTrump: “If you don’t vote. The socialists and the communists win.” https://t.co/VLhaX0iKKa,0
1335568915674652672,"RT @TomFitton: 3 U.S. Code § 1: ""The electors of President and Vice President shall be appointed, in each State, on the Tuesday next after…",0
1335568915792076800,"RT @TheDemCoalition: The Trump administration has issued @BuzzFeedNews a subpoena demanding they reveal their sources, an extraordinary att…",2
1335568915917750274,"RT @Raiklin: MAJOR UPDATE TO TIMELINE! Read carefully.

Dec 6-14 we need to apply maximum pressure on state legislatures of GA,WI,AZ,MI,PA…",0
1335568915955666944,"RT @RoscoeBDavis1: DeKalb County Cannot Find Chain Of Custody Records for Absentee Ballots....😲

""Most Secure Election Ever?""🤔",0
1335568916098191361,RT @YossiGestetner: FBI Wray unleashed more agents and at a quicker pace to check out a garage pull down (“noose”) then he did to any of th…,2
1335568916270227460,RT @MomForProgress: @JoeBiden My father died because you and yours are bought by health insurance cos &amp; so we didn't have universal health…,2
1335568916312072194,"RT @mellifluous__98: I vote #VishalVashishtha for Ishq Mein Marjawan 2 

#TVPersonalityWithRajBaddhan

@BizAsia @SabrasRadio @RajBaddhan ht…",1
1335568916588978176,"@KLoeffler @realDonaldTrump Maybe say @BrianKempGA needs to call a #SpecialSession NOW. We support Trump, not you.",0
1335568916765085697,RT @GenFlynn: .@Raiklin continues to do amazing analysis on the state of play in our election process. His chart is well worth studying.…,0
1335568917016670209,"RT @CREWcrew: Ivanka Trump, under investigation for the Trump Hotel overcharging the inauguration, claims that they charged market rates. T…",2
1335568917050269697,RT @ScottAdamsSays: None of the election fraud history matter. None of the current election fraud allegations matter. What matters is that…,0
1335568917062889472,"RT @Lrihendry: Being reported in GA, 10,315 voters died before the election, 66,248 were under the age of 18 and 40,279 people changed coun…",0
1335568917083824129,"@ScottAdamsSays Absolutely correct. Even if every single vote was valid, denial of access is enough.",2
1335568917109075969,RT @TomWick15: Trump has got this election in the bag. 🇺🇸We know the Dems cheated! But let’s make it a triple play &amp; recover all Senate &amp; R…,0
1335568917163552769,HOW DO YOU MAKE US VOTE FOR BEST GROUP BUT NOT FAVORITE GROUP MAKE IT MAKE SENSE STUPID B1TCH @MnetMAMA,0
1335568917297651712,RT @satishpai: @_atma @ModiVolunteer @PritishNandy so let farmers exercise freedom of choice. is govt forcing anybody to go and sign contra…,2
1335568917486596097,"RT @EmeraldRobinson: The GOP has both houses in Georgia.

The governor is GOP. The secretary of state too.

And they're all finished in pol…",0
1335568917536727040,"RT @BTSVotingIndo: 📊 TFMA UPDATE | End vote 7 Dec, 10:00 WIB

#2 Fan N Star Choice Artist
GAP -330.786

#2 Popularity Award 
GAP -15.060

📍…",2
1335568917599817728,"@KellzBellzzah @saminhim “...was..reported from evidence leading up to...Military Tribunals at GITMO...on 8/25/18 Sen. John McCain was executed for Treason &amp; Child Trafficking, + on 11/13/18 former Pres. G.H.W. Bush was executed for violations of the Rico Act &amp; Child Trafficking."" https://t.co/89JvzmY4Uv",2
1335568917624926208,RT @sparkledocawake: President Trump will be inaugurated in 47 days.,0
1335568917629177856,"RT @mmpadellan: trump doesn't actually want the job and responsibilities of being the President of the United States.

All he wants is the…",0
1335568917767532544,RT @ReverendWarnock: Request your absentee ballot now! https://t.co/nNbOv8iAKb https://t.co/gf6EAPcYuQ,2
1335568917817856000,RT @RevDrBarber: I took a moment to listen to Trump in Georgia. Every lie he says about others is actually him telling on himself. It would…,0
1335568918103076865,"RT @soft4leeteuk: im asking everyone to vote on f4nnst@r, the 15k gap cant guarantee our win knowing that the opponent's fandom is big. of…",2
1335568918111457280,@howcrazy @TheDemCoalition Absolutely. Trump made the rich richer and the poor poorer,2
1335568918296096768,"@RajBaddhan @SabrasRadio I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 

@RajBaddhan

@SabrasRadio

@BizAsia https://t.co/F5NFFruZMf",1
1335568918329614337,No shit. https://t.co/m3RzMrPyY5,2
1335568918488944640,"RT @G_CURLEY: Wrote about Krusty the Clown, Joe Biden’s tall “tail” and more. Don’t miss my latest.

https://t.co/V1rdoFLKh7",2
1335568918518386691,@LondonBreed Typical Democrat hypocrisy https://t.co/AdtNH2HeDH,2
1335568918707011585,"RT @ossoff: Georgia residents, write this down: December 14 is the first day of early voting.

Find your polling place. Make a plan. 

If y…",0
1335568918719688704,"RT @Rosemvmt: Actually, we’re looking for a handout. 

Specifically, $2,000 per month for every American, retroactive to March. https://t.c…",2
1335568918795128835,why do they even have us vote 😭,2
1335568918795214849,RT @RepKinzinger: Denouncing conspiracy theories and advocating for truth should not be a political or partisan approach. It should be the…,2
1335568918920884229,"RT @MrIanMalcolm_: ""I don't know if I will do another movie with Thalaivar. But I will surely vote for him. As a fan, I'm very excited abou…",2
1335568918941863937,OUR COUNTRY 👩‍🦰👍🇺🇸 https://t.co/tKWceBFXYN,2
1335568918996545540,The GOP party is nothing more than Trump a*s kissing sycophants. They all deserve to be voted out.  #WeirdoTrump #MAGAIsCancelled https://t.co/DFPfxyz4Bz,0
1335568919009103873,RT @GeorgePapa19: Signature verification. ID to vote. Minimum requirements for votes. Why the pushback against in Georgia?,2
1335568919105581056,@Transition46 @AliMayorkas Highly Respected. What a joke..You are a joke.. Nice..Biden hires all immigrants to run our country so they can bring their entire loser families to our country to take our jobs and be a burden to the welfare programs Biden wants to hand out,2
1335568919227215877,RT @LononKathy: Donald Trump WAS THE TRUE WINNER.  ELECTION@ON STOLEN,0
1335568919487082498,"RT @Ashi12Cutie: @RajBaddhan @SabrasRadio @BizAsia 

I vote #AshiSingh for #AladdinNaamTohSunaHoga #TVPersonalityWithRajBaddhan

GORGEOUS 0…",1
1335568919801847811,RT @kelliwardaz: Fight for Trump. 100%.,0
1335568919835234305,RT @realDonaldTrump: Thank you Christina!,0
1335568919902351361,RT @joshtpm: We need to start understanding that these are quite literally crimes. If you call up the vote counter and tell him to change t…,2
1335568919906504705,RT @BetteMidler: GO! GO! GO! GA! Our nation's future is in your hands.  Y'all wanna tread water another 4 years while #Perdue &amp; #Loefler en…,0
1335568920003158016,RT @kallman_tom: ...Standard Ballot Containers filled with ballots that had to be counted after the count had already stopped and nobody wa…,2
1335568920003178496,"RT @Raiklin: MAJOR UPDATE TO TIMELINE! Read carefully.

Dec 6-14 we need to apply maximum pressure on state legislatures of GA,WI,AZ,MI,PA…",0
1335568920007340032,"RT @mmpadellan: trump just told his Valdosta crowd we're ""rounding the turn"" on COVID-19 again -- a day after we lost another 3,000 people.…",0
1335568920045084672,"RT @paulsperry_: BREAKING: Records show that John Poulos, the president and CEO of Dominion which runs voting systems in 28 U.S. states, is…",0
1335568920158277633,"RT @patrick_noblet: This is a very critical time in the history of Ghana. The Voters Boycott will become a reference point, and for many ye…",2
1335568920225452032,"RT @NorthdownGreen: Yeah because the one these CRIMINALS deserve is even more money to waste on drugs, guns and everything in between. Abso…",2
1335568920242233345,RT @SethAbramson: FUN FACT: Donald Trump got his ass handed to him in the 2020 election. He got blown out like a chump. His performance was…,0
1335568920250621954,"RT @PhillDKline: The ONLY Electoral College deadline specifically required by the Constitution is noon on January 20, at which point Trump’…",2
1335568920279883776,"RT @charliekirk11: Joe Biden only won 17% of American counties yet somehow garnered over 80 million votes and “beat” Trump?

For perspectiv…",0
1335568920279920640,"RT @EricColumbus: Trump in Georgia: “At stake in this election is control of the U.S. Senate.” 

So he concedes that the VP to break a 50-5…",0
1335568920372269056,"RT @IlhanMN: Hate to break it to you, but they are headed to Kenya, which is in Africa and actually next door to Somalia. 

The American pe…",2
1335568920460320769,RT @LLinWood: I agree.,0
1335568920527446018,"RT @JoshforGeorgia: We are going to hear a torrent of BS from certain folks in the House majority over the next 6 months, as they try to kn…",2
1335568920565215232,"RT @paulsperry_: BREAKING: Records show that John Poulos, the president and CEO of Dominion which runs voting systems in 28 U.S. states, is…",0
1335568920686829569,"RT @JohnJHarwood: Trump aide on how the beaten, emotionally-disturbed president spends his dwindling days in office:

“large majority of hi…",2
1335568920732987392,RT @GenFlynn: .@Raiklin continues to do amazing analysis on the state of play in our election process. His chart is well worth studying.…,0
1335568921315971072,"For you back bitching, being fake, disloyal, irritating, doing classless and below the belt stuff and damn predictability is ""Giving content"" then  I'M SORRY BUT YOU CAN'T BE SAVED.
for us only
RAHUL VAIDYA MATTERS https://t.co/dyqMjemWPv",2
1335568921332756482,"RT @TheRISEofROD: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!
https://t.co/WUp1YvNAYK",0
1335568921383104512,"RT @fit4aqueen3: 🔥🤔""I have sensed a lot of condemnation &amp; criticism of what I might describe as ordinary working people, a kind of offhande…",2
1335568921529880576,RT @LLinWood: I am aware of importance of Senate control. Why can’t it be established with new down ballot election in January with secure…,0
1335568921764704257,@kirstiealley “We the people” is forgotten by Dems. But what burns my a$$ is rigid Dems keep voting them in. We’ll never get change until we vote them out!,0
1335568921773084672,"RT @BernieSanders: 11,000 workers at Tyson Foods got COVID &amp; 36 died while managers made bets on how many would get sick. The working condi…",2
1335568921836052487,RT @MarkDice: Trump is showing video clips at his Georgia Rally about the suspicious activity on election night.  https://t.co/JH7WwnxBNV,0
1335568921894789121,"RT @EmeraldRobinson: The GOP has both houses in Georgia.

The governor is GOP. The secretary of state too.

And they're all finished in pol…",0
1335568922125295620,@StuartCobb @DanCrenshawTX @Perduesenate @KLoeffler @realDonaldTrump Do you mean like the Russian hoax or the impeachment of President Trump for bidens actions,0
1335568922658136064,RT @pnjaban: This!,2
1335568923060826113,@Annakhait We LOVE TRUMP-❤️🇺🇸,0
1335568923115335681,RT @realDonaldTrump: And getting a total pass from the media!,0
1335568923127914497,"RT @atensnut: I’m older than President Trump, but I love him like a father.  He takes care of us like a good dad. 

Don’t give up on him.…",0
1335568923132039169,"RT @kylenabecker: DOMINION.🚨🚨🚨

Dominion Voting Systems, the second most widespread voting system in the United States, is run by a partisa…",0
1335568923178176512,"RT @ReneHauser1: Congress has failed us, but NY will lock him up fo sure. https://t.co/ekFZ33rz96",2
1335568923379503104,"RT @SusiWestland990: Trump becomes what he deeply feared, the one-term impeached president....and it's just part of his long string of life…",2
1335568923421519872,"RT @lizmill9525: @MeidasTouch Why am I, as a taxpayer, paying for Air Force One, to be part of the Trump rallies?   The airplane is always…",2
1335568923497033728,"RT @PamelaGeller: Do those schmucks at the @GOP think tens of thousands of Americans 🇺🇸 came to Georgia for a Senate seat?

Here for TRUMP…",0
1335568923626975232,"RT @donwinslow: .@LaraLeaTrump just asked for a quid Pro Quo from @BrianKempGA for Donald Trump. Literally straight up said ""Would be nice…",2
1335568923631235074,RT @Tcalman1: @SJPFISH TRUMP STARTED HIS 2ND TERM TONIGHT..NOTHING CAN STOP WHAT IS COMING..THE WORLD KNOWS THE TRUTH..MAGA UNLEASHED..MILI…,2
1335568923647991809,RT @RepKinzinger: Denouncing conspiracy theories and advocating for truth should not be a political or partisan approach. It should be the…,2
1335568923677384706,RT @acejooheon: tbh im happy they got best stage award bc thats an award give my industry professionals and not fan vote. an award purely b…,2
1335568923710861314,"RT @MajorPatriot: ""Your Governor should be ashamed of himself"" -- President Trump

#GeorgiaRally",0
1335568923731890178,"RT @grantstern: Perfecy parody @heathergtv! 

Silly me, I kept thinking that a great Queen song parody of Trump's Elite Krakens should be ""…",2
1335568923735908354,"RT @GYURlOUS: guys next time dont vote, just wait for any made up awards",2
1335568923777908737,"RT @AngelWarrior321: CNN called Richard Grenell a liar for saying President Trump won the election!
Retweet if you stand with Richard Grene…",0
1335568923907899393,"for those who are confused, best male group and favorite male group are different. for best male it was available to vote, but favorite male didn't even have a nomination.",2
1335568924004536325,"RT @PhillDKline: Data experts put the total number of illegal votes counted and legal votes not counted at more than 200,000, far greater t…",0
1335568924113514496,"The Gateway Pundit sent reporter Katie to cover the rally in Georgia.
Trump trolled the fake news media at the rally.

The WiFi ID was “Make America Great Again”
The password was “RiggedElection!” https://t.co/WWPUdKd0ZA",0
1335568924323274752,"RT @GrahamAllen_1: BREAKING:

More people will show up for @realDonaldTrump Rally today than LEGALLY voted for Biden!!!

RT!!",0
1335568924381995009,"RT @gtconway3dg: Historians sue Trump administration to stop ‘bonfire of records in the Rose Garden’

Screenshots are not “complete copies”…",2
1335568924524605440,"I'm so excited!!!  .... Keep the faith, everyone!!! https://t.co/qMKeSYhAKn",2
1335568924528635905,"RT @Fatiha44383350: I vote #SurbhiChandna for Naagin5 
#TVPersonalityWithRajBaddhan 
@RajBaddhan @SabrasRadio @BizAsia https://t.co/O5kBhnW…",1
1335568924604248064,"@JoeBiden S.O.S Mr. President of the USA greets you a simple honorable Ecuadorian, who DOES NOT ASK FOR CLEMENCY or PARDON, what he asks is the immediate rectification by the US Consulate of Quito of the wrong record of Drug Trafficking that has been maintained for 4532 days https://t.co/haPEFbeyTz",2
1335568924855988227,"RT @ksorbs: We have video proof of ballot fraud and election tampering, as well as poll workers admitting to such, things under oath, and t…",0
1335568924918894592,"@RedDevil680 @DavidPForsyth I haven't seen this reported anywhere. Regardless, this doesn't change the election. Biden still wins. 

imagine if the roles were reversed?  You be pissed that democrats were slowing the results and you know it. That's called hypocrisy.",2
1335568925019369475,RT @Crazy_Choding: Dont forget to vote on billboard too!!,2
1335568925153746945,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335568925178916865,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335568925178941440,@UrbanEdDJ @selmekki @JoeBiden If there is no Black agenda will the Liberal media pressure him about it?  They’d have to attack one of there own so I say it’s not likely two happen.,2
1335568925279494145,"@MarxIsMyNigga Liberation News: ""Although we are not Democrats, we encourage those voting in the upcoming Democratic Party primaries to vote for Bernie Sanders.""

https://t.co/jGaCO5uy0C",2
1335568925367492612,"RT @forever_ashdeep: I vote #AshiSingh for #TVPersonalityWithRajBaddan 
#AladdinNaamTohSunaHoga 
@SabrasRadio @RajBaddhan 
@BizAsia https:/…",1
1335568925375918083,"RT @CNNPolitics: Sen. Mitt Romney calls President Trump's leadership on Covid-19 ""a great human tragedy"" https://t.co/A0MYKPYZIr https://t.…",0
1335568925493506048,"RT @TheDailyEdge: #MAGAIsCancelled and Ivanka is committing perjury...

DC attorney general: Ivanka Trump 'highly misleading' on lawsuit de…",2
1335568925568999424,"RT @LucyKnows1: Go to Trump's page -or anyone's page, tap the wheel icon &amp; options will appear to block, mute etc.  it will tell you if you…",2
